date,stargazers,starsToday,description,owner,name,url
2021-12-19,20,192,"清华大学计算机系课程攻略 Guidance for courses in Department of Computer Science and Technology, Tsinghua University",PKUanonym,REKCARC-TSC-UHT,https://github.com/PKUanonym/REKCARC-TSC-UHT
2021-12-19,4,2,An online book focusing on Go syntax/semantics and runtime related things,go101,go101,https://github.com/go101/go101
2021-12-19,23,32,浙江大学课程攻略共享计划,QSCTech,zju-icicles,https://github.com/QSCTech/zju-icicles
2021-12-19,44,2,,johndoesstuff,randomProjects,https://github.com/johndoesstuff/randomProjects
2021-12-19,505,27,A simple hand drawn HTML/CSS theme,chr15m,DoodleCSS,https://github.com/chr15m/DoodleCSS
2021-12-19,1,2,Curso de JavaScript,gustavoguanabara,javascript,https://github.com/gustavoguanabara/javascript
2021-12-19,1,0,"Online resources for Python Crash Course (Second Edition), from No Starch Press",ehmatthes,pcc_2e,https://github.com/ehmatthes/pcc_2e
2021-12-19,33,3,An automated network Mind Map utility build from markmap.js.org,automateyournetwork,mind_nmap,https://github.com/automateyournetwork/mind_nmap
2021-12-19,157,1,,imrk51,CEH-v11-Study-Guide,https://github.com/imrk51/CEH-v11-Study-Guide
2021-12-19,128,4,,TheOdinProject,css-exercises,https://github.com/TheOdinProject/css-exercises
2021-12-19,13,11,A curated list of awesome warez and piracy links,Igglybuff,awesome-piracy,https://github.com/Igglybuff/awesome-piracy
2021-12-19,508,0,Xilinx Embedded Software (embeddedsw) Development,Xilinx,embeddedsw,https://github.com/Xilinx/embeddedsw
2021-12-19,2,7,"A fast, clean, responsive Hugo theme.",adityatelange,hugo-PaperMod,https://github.com/adityatelange/hugo-PaperMod
2021-12-19,1,0,一颗圣诞树,mengmeng1009,shengdanshu,https://github.com/mengmeng1009/shengdanshu
2021-12-19,170,9,A proposal to make grouping of array items easier,tc39,proposal-array-grouping,https://github.com/tc39/proposal-array-grouping
2021-12-19,1,41,"Real-Time Rendering 4th (RTR4) 参考文献合集典藏 | Collection of <Real-Time Rendering 4th (RTR4)> Bibliography / Reference",QianMo,Real-Time-Rendering-4th-Bibliography-Collection,https://github.com/QianMo/Real-Time-Rendering-4th-Bibliography-Collection
2021-12-19,1,0,腾讯云官方文档,tencentyun,qcloud-documents,https://github.com/tencentyun/qcloud-documents
2021-12-19,16,0,TDesign style/utils shared by multiple frameworks repo.,Tencent,tdesign-common,https://github.com/Tencent/tdesign-common
2021-12-19,463,2,All translated MDN content in raw form,mdn,translated-content,https://github.com/mdn/translated-content
2021-12-19,1,0,"This is the development home of the workflow management system Snakemake. For general information, see",snakemake,snakemake,https://github.com/snakemake/snakemake
2021-12-19,53,1,This is the NFT Minting Course Start Project!,buildspace,buildspace-nft-course-starter,https://github.com/buildspace/buildspace-nft-course-starter
2021-12-19,24,12,Tabler is free and open-source HTML Dashboard UI Kit built on Bootstrap,tabler,tabler,https://github.com/tabler/tabler
2021-12-19,812,1,Free and Open-source Bootstrap 5 Admin Dashboard Template and Landing Page,zuramai,mazer,https://github.com/zuramai/mazer
2021-12-19,2,1,Official OWASP Top 10 Document Repository,OWASP,Top10,https://github.com/OWASP/Top10
2021-12-19,24,5,操哥抽水器 - 最稳定的ETH/ETC抽水&中转程序,CaoCaoMiner,CC-Miner-Tax-Proxy,https://github.com/CaoCaoMiner/CC-Miner-Tax-Proxy
